base_feature,tuned_feature,decoder_cosine,base_frequency,tuned_frequency,frequency_delta,frequency_delta_abs,base_mean_activation,tuned_mean_activation,mean_activation_delta,category
5827,5827,0.988629,0.00251,0.97393996,0.97142994,0.97142994,6.180418e-05,0.14105722,0.14099541,frequency_shifted
5342,5342,0.9886378,0.01738,0.97511995,0.95773995,0.95773995,0.0033006093,0.13779427,0.13449366,frequency_shifted
2780,2780,0.98868084,0.00959,0.9673,0.95771,0.95771,0.00043948428,0.14064695,0.14020747,frequency_shifted
3630,3630,0.98868823,0.98364997,0.01188,-0.97177,0.97177,0.15315194,0.0008213064,-0.15233064,frequency_shifted
3515,3515,0.98873717,0.96985,0.01674,-0.95311,0.95311,0.16273595,0.0018767919,-0.16085917,frequency_shifted
1811,1811,0.9887724,0.97445995,0.01712,-0.95733994,0.95733994,0.14576814,0.0034166567,-0.14235148,frequency_shifted
3368,3368,0.98880744,0.97064,0.01742,-0.95322,0.95322,0.18452463,0.0036480667,-0.18087655,frequency_shifted
3096,3096,0.98887384,0.96839,0.01632,-0.95207,0.95207,0.15795363,0.0017747238,-0.1561789,frequency_shifted
5550,5550,0.9889823,0.01647,0.97078997,0.95431995,0.95431995,0.0017670527,0.19696607,0.19519901,frequency_shifted
5679,5679,0.9889918,0.015999999,0.9758,0.9598,0.9598,0.0011090146,0.16819938,0.16709036,frequency_shifted
2539,2539,0.98908,0.96797997,0.00096,-0.96702,0.96702,0.16683665,3.505276e-05,-0.1668016,frequency_shifted
1387,1387,0.9891262,0.00894,0.96923995,0.96029997,0.96029997,0.00032065267,0.1785914,0.17827074,frequency_shifted
3531,3531,0.9891697,0.01625,0.96984,0.95359,0.95359,0.001652417,0.16922867,0.16757625,frequency_shifted
5754,5754,0.9892117,0.00871,0.96696997,0.95825994,0.95825994,0.0008316827,0.14120719,0.14037551,frequency_shifted
5867,5867,0.98922986,0.00925,0.96743995,0.95818996,0.95818996,0.0007160867,0.13847402,0.13775793,frequency_shifted
3468,3468,0.98927844,0.0013199999,0.96911997,0.96779996,0.96779996,4.6336296e-05,0.16732062,0.16727428,frequency_shifted
5857,5857,0.9893427,0.00114,0.97046995,0.96932995,0.96932995,4.6795998e-05,0.18739013,0.18734334,frequency_shifted
4371,4371,0.9893436,0.98664,0.01797,-0.96866995,0.96866995,0.17803921,0.0068195197,-0.17121969,frequency_shifted
4553,4553,0.98937833,0.9791,0.0173,-0.9618,0.9618,0.20498702,0.0032964842,-0.20169054,frequency_shifted
6010,6010,0.98939383,0.01699,0.98534995,0.96835995,0.96835995,0.004395089,0.16280383,0.15840875,frequency_shifted
5852,5852,0.9894135,0.96779996,0.00159,-0.96620995,0.96620995,0.15413928,4.140989e-05,-0.15409787,frequency_shifted
5641,5641,0.9894901,0.97129,0.0012299999,-0.97006,0.97006,0.17618865,2.7901544e-05,-0.17616075,frequency_shifted
2203,2203,0.98956835,0.00931,0.96895,0.95963997,0.95963997,0.0006591406,0.1720546,0.17139547,frequency_shifted
841,841,0.98961353,0.017649999,0.97275996,0.95510995,0.95510995,0.0058533587,0.14117919,0.13532583,frequency_shifted
5796,5796,0.98964554,0.00904,0.96598,0.95694,0.95694,0.000700825,0.13898882,0.13828799,frequency_shifted
3284,3284,0.9897415,0.015,0.96887,0.95387,0.95387,0.0006466001,0.19434318,0.19369657,frequency_shifted
63,63,0.98981357,0.01729,0.98522997,0.96794,0.96794,0.00491278,0.1613982,0.15648542,frequency_shifted
3863,3863,0.98982507,0.0009,0.96972996,0.96883,0.96883,2.612852e-05,0.17848176,0.17845564,frequency_shifted
4357,4357,0.9898302,0.00908,0.97082996,0.96175,0.96175,0.0007224428,0.17221874,0.1714963,frequency_shifted
1454,1454,0.98983866,0.01478,0.96344,0.94866,0.94866,0.0006633512,0.1324274,0.13176404,frequency_shifted
1578,1578,0.9898479,0.00789,0.96506,0.95717,0.95717,8.7420565e-05,0.13525166,0.13516423,frequency_shifted
2886,2886,0.9898515,0.011419999,0.97116,0.95974,0.95974,0.00091089564,0.18809862,0.18718773,frequency_shifted
5216,5216,0.98985404,0.9693,0.017509999,-0.95179,0.95179,0.17470656,0.0053659077,-0.16934066,frequency_shifted
5528,5528,0.9898999,0.96844,0.00835,-0.96009,0.96009,0.15558288,0.00012605383,-0.15545683,frequency_shifted
2486,2486,0.9899243,0.97147,0.01516,-0.95631,0.95631,0.20610815,0.00036149196,-0.20574667,frequency_shifted
339,339,0.9899988,0.96816,0.0092899995,-0.95887,0.95887,0.15117119,0.0004460089,-0.15072519,frequency_shifted
1182,1182,0.99000955,0.01124,0.97997,0.96873,0.96873,0.0010289701,0.19645761,0.19542864,frequency_shifted
3123,3123,0.99005264,0.01715,0.98625,0.9691,0.9691,0.0071219048,0.19431597,0.18719406,frequency_shifted
1275,1275,0.99007714,0.01526,0.97251,0.95725,0.95725,0.0010868862,0.15129189,0.150205,frequency_shifted
2371,2371,0.9900873,0.00889,0.96686995,0.95798,0.95798,0.0005808573,0.13834482,0.13776396,frequency_shifted
1493,1493,0.9900888,0.96904,0.01543,-0.95361,0.95361,0.18709922,0.00028051308,-0.1868187,frequency_shifted
2324,2324,0.9900938,0.01761,0.97625,0.95864,0.95864,0.0044422955,0.13803664,0.13359435,frequency_shifted
5393,5393,0.99013996,0.00999,0.97014,0.96015,0.96015,0.0020873072,0.17949033,0.17740302,frequency_shifted
418,418,0.9901557,0.97371,0.01729,-0.95642,0.95642,0.15720344,0.004442514,-0.15276092,frequency_shifted
2370,2370,0.9902152,0.96797997,0.0014599999,-0.96651995,0.96651995,0.17248526,3.7329424e-05,-0.17244793,frequency_shifted
2251,2251,0.9902686,0.012689999,0.9691,0.95641,0.95641,0.00087894546,0.1646562,0.16377726,frequency_shifted
